,score
44200,-2.0
44355,-2.0
44773,-8.0
44910,-1.0
45126,-2.0
45207,-1.0
45398,-1.0
45462,-2.0
45504,-1.0
45675,-2.0
46234,-10.0
46529,-3.0
46593,-2.0
46670,-1.0
46706,-4.0
46822,-5.0
47221,-2.0
47651,-4.0
47776,-1.0
47779,-4.0
47787,-1.0
47913,-1.0
48290,-1.0
48891,-4.0
48915,-4.0
49112,-2.0
49532,-1.0
50175,-1.0
50241,-4.0
51020,-2.0
51048,-2.0
51267,-2.0
51422,-1.0
51522,-5.0
51709,-2.0
52168,-2.0
52531,-1.0
52682,-1.0
52835,-1.0
52865,-2.0
53081,-2.0
55135,-4.0
55653,-2.0
56335,-1.0
56721,-2.0
56957,-1.0
57250,-1.0
57338,-1.0
58154,-1.0
58464,-3.0
58503,-7.0
58636,-2.0
58985,-1.0
59122,-4.0
59231,-2.0
59411,-1.0
59753,-4.0
59799,-2.0
59944,-3.0
60193,-2.0
60210,-2.0
60222,-2.0
60269,-1.0
60308,-2.0
60380,-3.0
61002,-3.0
61181,-2.0
61601,-1.0
61980,-3.0
62091,-3.0
62096,-3.0
62774,-1.0
62779,-1.0
63020,-1.0
63159,-2.0
63213,-4.0
63250,-4.0
63355,-3.0
63387,-4.0
63389,-5.0
63547,-2.0
63598,-3.0
63783,-2.0
63865,-4.0
63909,-4.0
63944,-2.0
64117,-1.0
64132,-2.0
64352,-2.0
64365,-2.0
64454,-2.0
64486,-1.0
64490,-1.0
64540,-1.0
64541,-1.0
64561,-2.0
64627,-3.0
64680,-3.0
64681,-3.0
64783,-3.0
64798,-1.0
64828,-1.0
65049,-3.0
65151,-2.0
65291,-3.0
65297,-2.0
65332,-2.0
65400,-3.0
65404,-6.0
65423,-4.0
65460,-2.0
65525,-3.0
65583,-1.0
65587,-1.0
65602,-2.0
65612,-3.0
65719,-3.0
65736,-2.0
65761,-2.0
65770,-2.0
65817,-1.0
65821,-3.0
65866,-1.0
65887,-2.0
65900,-2.0
65914,-2.0
65920,-4.0
65936,-2.0
65950,-3.0
65952,-4.0
65962,-3.0
65987,-1.0
65996,-3.0
66053,-2.0
66059,-6.0
66115,-2.0
66147,-3.0
66169,-2.0
66175,-3.0
66251,-2.0
