,score
6445,1.0
6456,4.0
6475,1.0
6495,1.0
6496,2.0
6507,1.0
6509,4.0
6512,1.0
6529,1.0
6531,4.0
6564,1.0
6571,2.0
6578,2.0
6586,1.0
6600,1.0
6602,3.0
6663,1.0
6686,1.0
6688,4.0
6694,1.0
6702,4.0
6703,1.0
6715,1.0
6727,1.0
6729,4.0
6757,1.0
6759,4.0
6762,1.0
6774,1.0
6783,1.0
6786,4.0
6798,1.0
6805,1.0
6807,4.0
6810,1.0
6813,4.0
6815,1.0
6831,1.0
6849,1.0
6852,2.0
6881,1.0
6885,1.0
6888,1.0
6891,4.0
6899,4.0
6902,1.0
6912,1.0
6919,1.0
6921,2.0
6928,1.0
6933,4.0
6936,1.0
6939,4.0
6941,1.0
6942,2.0
6945,1.0
6952,1.0
6958,4.0
6960,1.0
6964,1.0
6969,4.0
6971,1.0
6976,1.0
6982,1.0
6987,1.0
6990,1.0
6992,4.0
6999,4.0
7002,1.0
7011,1.0
7017,1.0
7025,4.0
7028,1.0
7030,1.0
7036,1.0
7038,4.0
7047,1.0
7059,1.0
7064,1.0
7070,1.0
7073,4.0
7079,1.0
7081,4.0
7087,2.0
7094,1.0
7101,1.0
7118,1.0
7120,4.0
7123,1.0
7143,1.0
7145,4.0
7147,1.0
7158,1.0
7160,4.0
7163,2.0
7172,1.0
7180,4.0
7192,1.0
7197,4.0
7200,1.0
7226,4.0
7229,1.0
7252,1.0
7287,4.0
7290,1.0
7305,1.0
7326,1.0
7332,4.0
7336,1.0
7351,1.0
7383,1.0
7387,4.0
7416,3.0
7450,1.0
7516,5.0
7520,1.0
7526,1.0
7528,4.0
7531,4.0
7612,2.0
7628,1.0
7680,1.0
7688,4.0
7701,3.0
7717,6.0
7741,1.0
7747,4.0
7750,1.0
7780,4.0
7786,1.0
7790,7.0
7791,2.0
7806,2.0
7840,1.0
7862,2.0
7873,1.0
7876,4.0
7889,8.0
7903,1.0
7918,1.0
7920,4.0
7923,1.0
7982,1.0
7984,2.0
8030,1.0
8084,4.0
8094,1.0
8099,1.0
8130,1.0
8132,2.0
8136,1.0
8139,4.0
8169,4.0
8228,1.0
8283,1.0
8288,4.0
8292,1.0
8310,1.0
8321,1.0
8350,1.0
8458,1.0
8461,1.0
8463,4.0
8469,1.0
8529,1.0
8559,1.0
8583,1.0
8630,4.0
8632,1.0
8634,1.0
8646,1.0
8683,4.0
8686,1.0
8693,2.0
8697,1.0
8700,1.0
8749,1.0
8770,1.0
8776,2.0
8780,2.0
8790,1.0
8792,4.0
8795,1.0
8798,1.0
8813,2.0
8830,4.0
8846,1.0
8871,1.0
8874,1.0
8876,4.0
8879,1.0
8902,1.0
8918,1.0
8931,1.0
8954,1.0
8956,3.0
8959,1.0
8985,4.0
8987,1.0
8993,1.0
9008,1.0
9011,1.0
9013,4.0
9018,1.0
9079,1.0
9082,1.0
9084,1.0
9097,1.0
9102,4.0
9108,1.0
9121,1.0
9124,1.0
9126,4.0
9129,1.0
9135,1.0
9153,1.0
9158,1.0
9160,4.0
9162,2.0
9167,1.0
9175,1.0
9177,1.0
9179,1.0
9192,1.0
9194,4.0
9207,1.0
9220,1.0
9228,1.0
9230,4.0
9232,1.0
9234,1.0
9249,1.0
9252,2.0
9256,1.0
9258,4.0
9265,1.0
9279,1.0
9281,1.0
9283,1.0
9298,1.0
9300,4.0
9318,1.0
9326,1.0
9340,1.0
9343,1.0
9346,4.0
9349,1.0
9358,1.0
9371,1.0
9379,1.0
9389,1.0
9393,1.0
9394,1.0
9395,1.0
9396,4.0
9405,1.0
9416,1.0
9430,1.0
9447,1.0
9470,1.0
9480,1.0
9497,1.0
9518,1.0
9520,4.0
9523,1.0
9526,1.0
9538,1.0
9551,1.0
9560,1.0
9567,2.0
9585,1.0
9648,1.0
9674,1.0
9676,4.0
9679,1.0
9682,1.0
9724,1.0
9743,4.0
9746,1.0
9786,1.0
9820,4.0
9839,3.0
9857,1.0
9863,1.0
9867,1.0
9870,4.0
9874,1.0
9877,1.0
9905,1.0
9946,1.0
9966,2.0
10009,4.0
10012,1.0
10014,1.0
10018,1.0
10082,4.0
10086,1.0
10096,2.0
10114,3.0
10118,5.0
10138,4.0
10141,1.0
10153,1.0
10182,1.0
10223,2.0
10231,2.0
10247,1.0
10249,4.0
10253,1.0
10325,4.0
10331,1.0
10361,1.0
10395,3.0
10408,1.0
10411,4.0
10414,1.0
10419,1.0
10427,3.0
10428,3.0
10442,1.0
10458,1.0
10490,1.0
10503,8.0
10537,4.0
10540,1.0
10543,1.0
10545,1.0
10569,2.0
10590,1.0
10592,4.0
10639,1.0
10679,1.0
10684,1.0
10689,4.0
10692,1.0
10722,1.0
10727,3.0
10744,2.0
10751,1.0
10762,1.0
10768,1.0
10781,1.0
10796,4.0
10798,1.0
10800,1.0
10807,1.0
10808,2.0
10814,4.0
10828,1.0
10830,1.0
10834,4.0
10838,1.0
10868,1.0
10894,1.0
10917,2.0
10930,1.0
10933,1.0
10935,4.0
10938,1.0
10952,2.0
10965,1.0
10999,4.0
11005,1.0
11026,1.0
11033,1.0
11041,1.0
11044,1.0
11049,1.0
11052,1.0
11053,1.0
11098,1.0
11101,1.0
11103,4.0
11108,1.0
11115,1.0
11125,1.0
11126,2.0
11146,2.0
11160,1.0
