,score
23737,-2.0
23738,-2.0
23740,-1.0
23757,-4.0
23761,-3.0
23762,-1.0
23798,-1.0
23828,-3.0
23869,-2.0
23879,-2.0
23884,-2.0
23958,-2.0
24004,-3.0
24008,-3.0
24035,-1.0
24036,-2.0
24041,-2.0
24088,-1.0
24095,-5.0
24110,-2.0
24111,-1.0
24115,-3.0
24158,-2.0
24166,-11.0
24171,-1.0
24173,-1.0
24189,-1.0
24216,-5.0
24225,-4.0
24230,-1.0
24234,-2.0
24236,-1.0
24240,-2.0
24242,-3.0
24244,-1.0
24261,-4.0
24262,-2.0
24264,-1.0
24285,-1.0
24293,-1.0
24302,-3.0
24308,-2.0
24309,-2.0
24319,-9.0
24324,-4.0
24327,-2.0
24362,-2.0
24379,-2.0
24393,-5.0
24394,-1.0
24397,-1.0
24408,-6.0
24427,-2.0
24429,-1.0
24439,-1.0
24446,-8.0
24459,-1.0
24471,-2.0
24477,-1.0
24478,-2.0
24485,-2.0
24525,-3.0
24529,-3.0
24543,-3.0
24544,-1.0
24555,-4.0
24560,-3.0
24613,-2.0
24642,-2.0
24645,-3.0
24660,-4.0
24677,-2.0
24689,-5.0
24701,-4.0
24732,-5.0
24740,-1.0
24750,-2.0
24753,-1.0
24756,-6.0
24793,-3.0
24813,-4.0
24815,-4.0
24816,-2.0
24833,-2.0
24859,-2.0
24861,-2.0
24899,-1.0
24900,-1.0
24921,-2.0
24931,-1.0
24932,-4.0
24954,-3.0
24966,-2.0
24968,-1.0
24988,-2.0
25005,-2.0
25031,-4.0
25033,-3.0
25058,-1.0
25062,-4.0
25082,-2.0
25085,-1.0
25115,-2.0
25122,-1.0
25123,-2.0
25124,-2.0
25130,-1.0
25132,-1.0
25142,-2.0
25191,-2.0
25196,-1.0
25201,-2.0
25218,-1.0
25247,-4.0
25256,-3.0
25263,-2.0
25274,-1.0
25285,-4.0
25322,-4.0
25331,-3.0
25335,-2.0
25382,-2.0
25443,-6.0
25474,-1.0
25496,-2.0
25500,-4.0
25501,-3.0
25502,-4.0
25503,-4.0
25552,-1.0
25587,-2.0
25646,-4.0
25651,-3.0
25668,-1.0
25735,-1.0
25765,-2.0
25842,-1.0
25844,-2.0
25854,-2.0
25908,-1.0
25911,-2.0
26020,-4.0
26091,-1.0
26100,-2.0
26103,-1.0
26111,-1.0
26146,-1.0
26217,-2.0
26221,-2.0
26230,-5.0
26258,-2.0
26332,-1.0
26378,-1.0
26394,-2.0
26553,-3.0
26740,-2.0
26810,-2.0
27062,-1.0
27083,-3.0
27115,-4.0
27137,-1.0
27283,-1.0
27308,-1.0
27351,-1.0
27406,-3.0
27495,-3.0
27525,-2.0
27546,-1.0
27742,-2.0
27754,-1.0
27766,-4.0
27846,-2.0
27887,-1.0
27908,-1.0
27934,-2.0
27940,-3.0
27994,-2.0
28001,-3.0
28044,-3.0
28130,-2.0
28399,-1.0
28422,-3.0
28522,-1.0
28766,-2.0
28968,-1.0
29040,-1.0
29106,-1.0
29165,-4.0
29209,-2.0
29214,-2.0
29225,-1.0
29228,-4.0
29268,-4.0
29324,-4.0
29520,-2.0
29565,-1.0
29680,-1.0
29862,-2.0
29864,-2.0
29897,-1.0
30093,-2.0
30155,-1.0
30161,-1.0
30180,-3.0
30594,-2.0
30647,-6.0
30790,-2.0
30898,-3.0
31029,-7.0
31134,-2.0
31171,-2.0
31179,-1.0
31191,-5.0
31339,-1.0
31340,-2.0
31346,-1.0
31349,-1.0
31355,-2.0
31373,-2.0
31404,-1.0
31470,-1.0
31522,-1.0
31634,-3.0
31638,-1.0
31802,-2.0
31807,-2.0
31841,-3.0
31879,-2.0
31883,-2.0
31987,-4.0
32024,-2.0
32101,-2.0
32111,-2.0
32133,-2.0
32136,-1.0
32258,-2.0
32270,-6.0
32271,-3.0
32305,-2.0
32520,-3.0
32694,-3.0
32906,-6.0
33032,-1.0
33071,-2.0
33203,-4.0
33225,-3.0
33368,-2.0
33412,-2.0
33506,-2.0
33529,-2.0
33688,-6.0
33725,-3.0
33726,-2.0
33748,-1.0
33889,-3.0
33943,-4.0
33992,-2.0
34013,-2.0
34205,-2.0
34218,-4.0
34465,-2.0
34481,-2.0
34581,-2.0
34609,-2.0
34611,-2.0
34655,-2.0
34686,-3.0
34708,-1.0
34757,-4.0
34771,-3.0
34775,-2.0
34793,-3.0
34830,-1.0
34971,-1.0
35048,-2.0
35050,-3.0
35119,-1.0
35120,-1.0
35133,-1.0
35161,-3.0
35203,-3.0
35359,-2.0
35379,-1.0
35383,-1.0
35433,-4.0
35553,-2.0
35575,-1.0
35576,-1.0
35592,-5.0
35633,-1.0
35714,-4.0
35842,-3.0
35903,-1.0
36227,-3.0
36492,-2.0
36833,-1.0
36865,-1.0
36868,-2.0
36916,-2.0
36991,-1.0
37031,-1.0
37225,-1.0
37247,-3.0
37285,-1.0
37312,-1.0
37396,-1.0
37531,-2.0
37826,-1.0
37858,-5.0
37912,-4.0
37986,-2.0
37994,-1.0
38018,-5.0
38088,-2.0
38162,-2.0
38210,-2.0
