,score
50116,-2.0
50124,-6.0
50132,-2.0
50143,-3.0
50148,-4.0
50150,-3.0
50156,-2.0
50163,-6.0
50177,-4.0
50180,-1.0
50181,-3.0
50186,-2.0
50190,-1.0
50191,-3.0
50200,-2.0
50205,-4.0
50214,-3.0
50219,-4.0
50229,-1.0
50248,-2.0
50253,-5.0
50254,-5.0
50255,-4.0
50257,-1.0
50268,-1.0
50273,-3.0
50290,-2.0
50312,-1.0
50333,-2.0
50341,-2.0
50346,-1.0
50350,-2.0
50357,-3.0
50381,-2.0
50397,-1.0
50418,-2.0
50425,-2.0
50431,-6.0
50439,-3.0
50445,-1.0
50448,-1.0
50449,-3.0
50514,-2.0
50523,-1.0
50527,-1.0
50531,-2.0
50541,-1.0
50545,-1.0
50560,-6.0
50562,-1.0
50567,-2.0
50578,-5.0
50581,-1.0
50593,-1.0
50632,-2.0
50641,-2.0
50675,-1.0
50680,-2.0
50690,-1.0
50691,-2.0
50707,-1.0
50712,-1.0
50717,-3.0
50728,-1.0
50730,-1.0
50733,-2.0
50774,-5.0
50781,-1.0
50783,-3.0
50815,-3.0
50824,-2.0
50826,-1.0
50829,-2.0
50831,-1.0
50834,-1.0
50837,-7.0
50850,-1.0
50859,-2.0
50867,-1.0
50878,-4.0
50886,-3.0
50889,-3.0
50891,-1.0
50910,-2.0
50914,-2.0
50930,-1.0
50949,-2.0
50958,-1.0
50959,-5.0
50970,-1.0
50978,-3.0
50983,-3.0
51032,-3.0
51039,-3.0
51043,-1.0
51056,-2.0
51107,-1.0
51127,-1.0
51131,-3.0
51135,-1.0
51153,-1.0
51169,-2.0
51178,-1.0
51204,-4.0
51206,-2.0
51216,-2.0
51220,-1.0
51226,-1.0
51236,-1.0
51262,-6.0
51269,-2.0
51272,-1.0
51279,-2.0
51286,-1.0
51290,-4.0
51313,-2.0
51318,-2.0
51321,-1.0
51322,-4.0
51343,-3.0
51349,-1.0
51363,-1.0
51374,-3.0
51375,-3.0
51386,-2.0
51392,-1.0
51413,-1.0
51418,-1.0
51421,-1.0
51450,-1.0
51479,-3.0
51502,-1.0
51512,-3.0
51535,-2.0
51566,-1.0
51568,-3.0
51580,-1.0
51585,-3.0
51600,-4.0
51621,-2.0
51672,-4.0
51685,-3.0
51719,-2.0
51736,-1.0
51751,-1.0
51777,-6.0
51801,-1.0
51809,-3.0
51850,-2.0
51868,-3.0
51869,-2.0
51915,-1.0
51945,-2.0
52008,-3.0
52071,-3.0
52086,-2.0
52209,-3.0
52232,-2.0
52247,-2.0
52298,-3.0
52300,-1.0
52301,-2.0
52308,-2.0
52337,-3.0
52339,-2.0
52342,-2.0
52379,-3.0
52427,-2.0
52472,-3.0
52503,-1.0
52516,-1.0
52556,-3.0
52573,-2.0
52618,-2.0
52623,-2.0
52640,-3.0
52677,-1.0
52693,-3.0
52733,-1.0
52867,-2.0
52957,-1.0
53029,-3.0
53035,-2.0
53046,-2.0
53058,-3.0
53064,-2.0
53085,-2.0
53109,-2.0
53113,-2.0
53118,-1.0
53370,-2.0
53393,-4.0
53436,-1.0
53493,-3.0
53561,-2.0
53585,-2.0
53587,-4.0
53604,-1.0
53607,-3.0
54289,-1.0
54448,-3.0
54873,-3.0
54970,-5.0
54974,-2.0
55145,-3.0
55157,-2.0
55228,-2.0
55514,-3.0
55516,-1.0
55521,-7.0
55633,-2.0
55693,-3.0
56273,-2.0
56354,-2.0
56365,-2.0
56383,-2.0
56458,-1.0
56594,-1.0
56687,-2.0
56705,-3.0
56706,-1.0
56940,-4.0
56958,-1.0
57006,-3.0
57034,-1.0
57186,-3.0
57275,-1.0
57416,-1.0
57427,-1.0
57538,-2.0
57616,-5.0
57662,-2.0
57751,-3.0
58054,-1.0
58178,-1.0
58328,-2.0
58465,-3.0
58554,-2.0
58556,-2.0
58557,-2.0
58558,-2.0
58750,-1.0
58867,-3.0
58875,-8.0
59023,-2.0
59028,-2.0
59032,-2.0
59034,-2.0
59036,-2.0
59115,-1.0
59118,-4.0
59238,-2.0
59291,-3.0
59305,-2.0
59339,-4.0
59423,-4.0
59625,-1.0
59679,-1.0
59737,-1.0
59833,-1.0
59848,-2.0
59912,-3.0
59946,-2.0
59998,-3.0
60132,-1.0
60211,-2.0
60333,-2.0
60348,-4.0
60350,-3.0
60587,-1.0
60837,-1.0
61003,-3.0
61031,-1.0
61084,-3.0
61134,-1.0
61157,-2.0
61178,-3.0
61182,-2.0
61442,-4.0
61538,-3.0
61717,-4.0
61724,-1.0
61752,-2.0
61777,-2.0
61815,-1.0
62126,-1.0
62275,-4.0
62385,-4.0
62407,-1.0
62439,-1.0
62543,-1.0
62545,-1.0
62763,-1.0
62767,-1.0
62770,-1.0
62879,-1.0
63147,-3.0
63212,-2.0
63397,-1.0
63564,-5.0
64004,-3.0
64011,-2.0
64127,-2.0
64154,-2.0
64231,-1.0
64354,-1.0
64416,-1.0
64424,-4.0
64446,-1.0
64475,-9.0
64584,-4.0
64612,-1.0
64705,-1.0
64902,-3.0
66237,-1.0
66270,-1.0
66435,-3.0
66443,-2.0
66444,-2.0
66477,-2.0
66485,-4.0
66577,-3.0
66685,-5.0
66790,-7.0
66849,-2.0
66858,-2.0
66978,-2.0
67164,-1.0
67266,-2.0
67357,-2.0
67461,-2.0
67484,-1.0
67499,-1.0
67531,-3.0
67687,-1.0
67918,-1.0
67957,-1.0
67996,-1.0
68024,-2.0
68026,-2.0
68553,-2.0
68615,-1.0
68665,-1.0
68825,-3.0
68889,-2.0
69200,-1.0
69298,-3.0
69656,-3.0
69734,-4.0
69818,-5.0
69836,-3.0
69888,-3.0
69965,-1.0
69973,-2.0
70311,-2.0
70343,-1.0
70420,-1.0
70433,-1.0
70452,-5.0
70473,-2.0
70474,-2.0
70475,-2.0
70476,-2.0
70503,-2.0
70751,-2.0
70753,-3.0
70792,-1.0
70841,-2.0
70869,-2.0
70992,-3.0
71190,-2.0
71263,-1.0
71275,-3.0
71326,-1.0
71370,-2.0
71371,-2.0
71519,-2.0
71589,-1.0
71592,-1.0
71612,-3.0
71647,-2.0
71706,-3.0
71819,-1.0
71840,-1.0
71856,-1.0
72090,-2.0
72113,-1.0
72116,-1.0
72204,-1.0
72297,-2.0
72396,-2.0
72404,-1.0
72455,-1.0
72496,-1.0
72508,-2.0
72712,-1.0
72759,-1.0
72763,-6.0
72768,-1.0
72969,-1.0
72991,-1.0
73206,-3.0
73213,-1.0
73268,-1.0
73495,-1.0
73498,-1.0
73515,-2.0
73545,-1.0
73588,-1.0
73654,-3.0
73655,-2.0
73695,-1.0
73843,-1.0
73857,-1.0
73873,-1.0
73949,-2.0
73958,-1.0
73978,-1.0
74066,-1.0
74104,-2.0
74199,-3.0
74242,-1.0
74319,-2.0
74325,-2.0
74770,-2.0
74883,-1.0
74916,-2.0
75069,-2.0
75081,-2.0
75102,-2.0
75211,-1.0
75574,-1.0
75660,-1.0
75990,-1.0
76002,-1.0
76066,-2.0
76112,-2.0
76310,-1.0
76396,-1.0
76524,-1.0
76536,-1.0
76700,-1.0
76883,-1.0
77392,-2.0
77415,-4.0
77417,-4.0
77500,-1.0
77560,-1.0
77628,-1.0
77633,-4.0
77662,-3.0
77735,-2.0
77785,-1.0
77830,-3.0
77855,-1.0
77962,-1.0
78001,-1.0
78018,-1.0
78131,-1.0
78228,-2.0
78305,-1.0
78307,-1.0
78338,-2.0
78340,-1.0
78621,-1.0
78793,-1.0
78821,-1.0
78867,-3.0
78887,-3.0
78895,-1.0
78914,-1.0
79001,-1.0
79019,-1.0
79157,-1.0
79203,-1.0
79304,-4.0
79329,-2.0
79331,-1.0
79398,-1.0
79452,-1.0
79592,-1.0
80201,-2.0
80384,-2.0
80406,-1.0
80427,-4.0
80431,-4.0
80477,-3.0
80736,-2.0
80773,-4.0
81013,-1.0
81242,-4.0
81248,-1.0
81250,-4.0
81271,-1.0
81466,-1.0
81480,-3.0
81497,-2.0
81629,-1.0
81747,-1.0
81750,-1.0
81752,-1.0
81756,-1.0
81758,-1.0
81759,-1.0
81825,-1.0
81935,-6.0
81937,-1.0
81977,-1.0
81986,-1.0
81997,-2.0
82223,-8.0
82292,-2.0
82326,-1.0
82594,-1.0
82641,-1.0
82673,-2.0
82754,-2.0
82755,-2.0
82866,-2.0
82892,-1.0
82900,-1.0
82993,-2.0
83390,-2.0
83657,-2.0
83854,-1.0
83908,-1.0
83999,-1.0
84057,-2.0
84128,-2.0
84297,-1.0
84307,-1.0
84489,-1.0
84518,-1.0
84528,-3.0
85178,-1.0
85288,-1.0
85333,-2.0
85369,-1.0
85436,-2.0
85573,-2.0
85745,-4.0
86041,-1.0
86057,-1.0
86236,-1.0
86252,-1.0
86285,-1.0
86400,-1.0
86403,-1.0
86427,-4.0
86614,-1.0
86651,-1.0
86683,-1.0
86840,-2.0
86956,-2.0
86961,-1.0
86989,-1.0
86995,-1.0
87159,-1.0
87161,-1.0
87254,-1.0
87271,-1.0
87274,-2.0
87285,-1.0
87409,-3.0
87514,-1.0
87516,-1.0
87522,-1.0
87548,-2.0
87585,-8.0
87785,-1.0
87845,-1.0
87903,-2.0
87940,-1.0
88060,-1.0
88067,-1.0
88069,-1.0
88070,-1.0
88072,-2.0
88084,-1.0
88223,-1.0
88228,-1.0
88294,-2.0
88332,-1.0
88347,-2.0
88879,-1.0
88894,-1.0
88936,-1.0
88983,-3.0
89087,-7.0
89168,-2.0
89174,-3.0
89180,-1.0
89213,-4.0
89224,-2.0
89361,-2.0
89387,-2.0
89390,-1.0
89436,-2.0
89463,-3.0
89657,-1.0
89730,-2.0
89753,-1.0
89760,-4.0
89793,-4.0
89798,-4.0
89833,-2.0
89834,-2.0
89835,-2.0
89894,-2.0
89904,-6.0
89905,-1.0
89977,-2.0
89990,-1.0
90027,-1.0
90064,-1.0
90111,-2.0
90119,-4.0
90135,-4.0
90224,-2.0
90242,-1.0
90259,-1.0
90361,-1.0
90366,-4.0
90373,-1.0
90423,-2.0
90436,-1.0
90524,-2.0
90700,-2.0
90913,-5.0
91110,-1.0
91111,-1.0
91120,-1.0
91180,-1.0
91355,-2.0
91364,-1.0
91410,-1.0
91450,-3.0
91564,-2.0
91853,-2.0
91927,-2.0
91994,-3.0
92244,-1.0
92624,-2.0
92706,-4.0
92855,-1.0
93097,-2.0
93660,-1.0
93701,-1.0
93914,-1.0
93928,-3.0
93933,-1.0
94330,-6.0
94333,-2.0
94456,-6.0
94686,-1.0
94956,-2.0
95001,-1.0
95005,-1.0
95058,-1.0
95090,-1.0
95114,-2.0
95264,-1.0
95510,-7.0
95658,-1.0
95728,-2.0
95912,-2.0
95925,-2.0
96170,-6.0
96256,-3.0
97698,-4.0
98232,-2.0
98253,-4.0
98370,-1.0
98497,-1.0
98504,-1.0
98917,-1.0
98920,-1.0
99202,-1.0
99608,-2.0
99749,-2.0
99872,-1.0
100035,-2.0
100604,-1.0
100642,-1.0
100668,-1.0
100674,-1.0
101090,-1.0
101529,-1.0
101753,-2.0
101771,-1.0
101869,-2.0
102093,-6.0
102323,-1.0
102465,-2.0
102536,-1.0
102598,-1.0
102814,-1.0
102831,-2.0
102858,-1.0
102880,-2.0
102897,-1.0
103025,-1.0
103062,-1.0
103266,-4.0
103355,-1.0
103472,-1.0
103582,-2.0
103684,-1.0
103689,-1.0
103722,-6.0
103727,-2.0
104046,-1.0
104161,-2.0
104348,-5.0
104520,-4.0
104544,-1.0
104596,-1.0
104873,-3.0
105085,-1.0
105116,-1.0
105141,-2.0
105142,-1.0
105391,-2.0
105490,-1.0
105790,-1.0
105792,-1.0
105808,-1.0
105972,-2.0
106012,-1.0
106065,-1.0
106520,-2.0
106647,-1.0
106655,-1.0
106686,-2.0
107255,-5.0
107261,-1.0
107398,-1.0
107412,-1.0
107490,-1.0
107491,-1.0
107658,-1.0
107685,-1.0
107713,-1.0
107735,-3.0
107742,-4.0
107760,-1.0
107992,-1.0
108008,-2.0
108212,-1.0
108323,-2.0
108404,-1.0
108409,-1.0
108797,-1.0
108868,-2.0
108929,-1.0
108937,-1.0
108946,-1.0
109404,-1.0
109420,-1.0
109673,-1.0
109694,-3.0
109704,-4.0
109732,-1.0
109750,-1.0
110098,-1.0
110116,-1.0
110259,-1.0
110262,-1.0
110351,-4.0
110998,-1.0
111088,-1.0
111232,-1.0
