,score
17550,5.0
17556,11.0
17672,2.0
17685,2.0
17745,3.0
17784,1.0
17863,2.0
17883,2.0
17904,1.0
17936,1.0
17975,2.0
18049,4.0
18081,10.0
18169,5.0
18177,10.0
18205,8.0
18207,9.0
18210,13.0
18212,13.0
18213,13.0
18214,1.0
18220,6.0
18221,12.0
18223,7.0
18225,4.0
18251,5.0
18264,4.0
18265,1.0
18270,1.0
18272,2.0
18277,3.0
18285,4.0
18286,3.0
18289,8.0
18301,3.0
18313,1.0
18318,3.0
18330,2.0
18343,1.0
18344,1.0
18345,1.0
18346,1.0
18347,1.0
18378,2.0
18409,6.0
18412,4.0
18427,7.0
18497,5.0
18616,5.0
18649,10.0
18715,5.0
18716,1.0
18722,5.0
18725,12.0
18741,9.0
18798,3.0
18837,4.0
18839,5.0
18896,4.0
18904,2.0
18908,1.0
18932,2.0
19003,2.0
19013,2.0
19015,2.0
19021,3.0
19025,3.0
19026,4.0
19072,3.0
19123,2.0
19264,3.0
19318,4.0
19376,3.0
19389,4.0
19398,3.0
19422,6.0
19514,2.0
19566,6.0
19594,5.0
19624,3.0
19675,2.0
19716,7.0
19745,1.0
19886,2.0
19926,2.0
20028,1.0
20064,2.0
20077,2.0
20106,2.0
20145,2.0
20165,2.0
20174,6.0
20187,3.0
20234,3.0
20303,2.0
20363,4.0
20373,4.0
20385,4.0
20391,4.0
20414,4.0
20469,4.0
20474,4.0
20490,4.0
20510,3.0
20589,1.0
20591,2.0
20607,2.0
20617,3.0
20619,3.0
20652,2.0
20674,3.0
20678,7.0
20711,4.0
20743,4.0
20750,3.0
20758,1.0
20767,3.0
20780,6.0
20784,6.0
20973,2.0
20989,2.0
20991,2.0
20992,1.0
20993,3.0
21027,4.0
21037,4.0
21038,4.0
21043,2.0
21050,5.0
21053,4.0
21074,4.0
21124,3.0
21139,1.0
21243,7.0
21245,3.0
21255,3.0
21258,3.0
21266,3.0
21277,5.0
21320,7.0
21345,1.0
21362,4.0
21367,4.0
21388,3.0
21389,10.0
21395,2.0
21422,2.0
21424,4.0
21428,2.0
21442,2.0
21445,5.0
21448,3.0
21455,5.0
21459,1.0
21479,1.0
21492,1.0
21495,1.0
21501,2.0
21533,2.0
21535,2.0
21552,2.0
21568,2.0
21609,1.0
21618,4.0
21628,1.0
21642,7.0
21658,1.0
21707,2.0
21711,1.0
21714,11.0
21726,3.0
21736,3.0
21737,1.0
21739,6.0
21760,5.0
21799,5.0
21805,1.0
21806,1.0
21874,1.0
21918,2.0
21957,1.0
22038,5.0
22055,3.0
22108,1.0
22109,2.0
22169,4.0
22211,1.0
22222,4.0
22228,4.0
22268,4.0
22281,5.0
22288,2.0
22299,1.0
22309,3.0
22324,2.0
22336,6.0
22361,3.0
22385,2.0
22453,2.0
22475,2.0
22483,2.0
22485,2.0
22486,2.0
22487,2.0
22505,2.0
22511,2.0
22515,2.0
22516,2.0
22517,2.0
22550,2.0
22559,2.0
22563,2.0
22564,2.0
22565,2.0
22570,3.0
22574,2.0
22624,1.0
22639,3.0
22695,1.0
22710,2.0
22718,2.0
22798,2.0
22801,3.0
22847,4.0
22848,4.0
22860,1.0
23081,9.0
23164,2.0
23228,2.0
23323,4.0
23344,2.0
23365,2.0
23381,2.0
23383,6.0
23431,3.0
23446,2.0
23536,3.0
23576,1.0
23590,3.0
23655,5.0
23670,4.0
23683,7.0
23698,3.0
23770,2.0
23825,2.0
23835,2.0
23864,2.0
23867,2.0
23922,2.0
23966,2.0
24013,7.0
24030,3.0
24052,7.0
24060,2.0
24064,7.0
24074,2.0
24135,2.0
24154,4.0
24195,4.0
24212,2.0
24266,2.0
24281,2.0
24307,1.0
24337,9.0
24374,1.0
24377,1.0
24403,2.0
24407,4.0
24464,4.0
24508,3.0
24514,2.0
24648,1.0
24651,2.0
24672,2.0
24681,4.0
24695,1.0
24711,2.0
24739,3.0
24751,4.0
24768,4.0
24787,3.0
24791,3.0
24810,4.0
24858,4.0
24869,1.0
24872,3.0
24934,2.0
24969,1.0
25041,4.0
25076,2.0
25101,5.0
25103,1.0
25187,8.0
25197,3.0
25222,2.0
25235,1.0
25287,3.0
25310,1.0
25451,2.0
25477,1.0
25489,2.0
25506,1.0
25518,2.0
25519,1.0
25561,4.0
25567,10.0
25602,2.0
25636,3.0
25657,2.0
25713,3.0
25718,2.0
25722,4.0
25748,2.0
25781,4.0
25808,4.0
25834,3.0
25843,2.0
25856,1.0
25857,3.0
25858,3.0
25863,1.0
25904,2.0
25968,5.0
26043,2.0
26181,4.0
26277,1.0
26298,2.0
26336,3.0
26399,1.0
26418,1.0
26421,1.0
26443,1.0
26526,8.0
26548,1.0
26578,1.0
26619,1.0
26626,4.0
26675,1.0
26680,5.0
26686,3.0
26694,1.0
26737,8.0
26839,2.0
26857,4.0
26864,1.0
26866,1.0
26869,1.0
26870,1.0
26872,1.0
26886,1.0
26895,2.0
26898,2.0
26904,2.0
26920,5.0
26951,4.0
26979,5.0
26982,1.0
26990,1.0
27085,10.0
27097,3.0
27201,4.0
27233,11.0
27241,7.0
27275,3.0
27298,2.0
27310,2.0
27316,1.0
27332,3.0
27337,2.0
27384,1.0
27391,2.0
27428,2.0
27430,1.0
27450,2.0
27500,6.0
27554,5.0
27582,1.0
27651,1.0
27660,8.0
27784,1.0
27785,1.0
27791,3.0
27844,3.0
27854,3.0
27901,6.0
27980,2.0
28069,2.0
28249,2.0
28273,1.0
28287,6.0
28301,1.0
28304,3.0
28307,2.0
28345,1.0
28346,1.0
28360,3.0
28386,2.0
28445,2.0
28460,1.0
28488,2.0
28489,2.0
28520,4.0
28561,1.0
28574,1.0
28591,3.0
28645,2.0
28693,2.0
28708,2.0
28711,2.0
28743,3.0
28782,5.0
28785,1.0
28803,1.0
28809,4.0
28902,4.0
28934,2.0
28960,1.0
28977,2.0
28980,2.0
29025,2.0
29054,1.0
29069,1.0
29146,3.0
29191,4.0
29215,1.0
29256,3.0
29266,2.0
29290,1.0
29295,2.0
29340,4.0
29415,2.0
29554,6.0
29557,3.0
29576,1.0
29605,5.0
29642,2.0
29661,5.0
29676,1.0
29695,2.0
29758,2.0
29919,3.0
30032,4.0
30530,3.0
30598,6.0
30640,1.0
30671,3.0
30692,2.0
30737,2.0
30802,2.0
30837,2.0
30861,2.0
30923,4.0
30975,1.0
30998,1.0
31080,5.0
31093,4.0
31142,1.0
31169,3.0
31188,4.0
31269,5.0
31316,3.0
31444,3.0
31449,1.0
31504,3.0
31519,6.0
31547,3.0
31563,1.0
31635,4.0
31705,6.0
31735,2.0
31887,1.0
31898,2.0
31902,3.0
31917,6.0
31918,6.0
31919,6.0
31920,6.0
31921,6.0
31930,3.0
32017,2.0
32128,3.0
32147,2.0
32174,2.0
32213,2.0
32279,5.0
32284,3.0
32541,4.0
32553,4.0
32570,3.0
32681,1.0
32710,2.0
32720,1.0
32734,6.0
32788,2.0
32806,2.0
32828,2.0
32838,2.0
33061,2.0
33127,1.0
33161,3.0
33172,4.0
33188,3.0
33221,3.0
33245,7.0
33270,3.0
33345,4.0
33438,3.0
33453,1.0
33480,2.0
33507,1.0
33551,2.0
33554,2.0
33555,2.0
33565,6.0
33654,5.0
33682,2.0
33695,5.0
33781,1.0
33790,2.0
33871,3.0
33872,3.0
33937,2.0
33966,5.0
34105,2.0
34117,2.0
34133,9.0
34153,2.0
34318,2.0
34326,3.0
34332,1.0
34336,2.0
34347,2.0
34425,1.0
34463,2.0
34467,1.0
34501,4.0
34505,2.0
34506,2.0
34533,1.0
34539,1.0
