,score
26286,-3.0
26310,-2.0
26396,-2.0
26640,-1.0
26698,-1.0
26794,-2.0
26822,-2.0
26847,-1.0
26969,-6.0
27061,-1.0
27136,-1.0
27245,-2.0
27340,-2.0
27395,-1.0
27415,-1.0
27498,-6.0
27624,-3.0
27634,-4.0
27748,-1.0
27768,-3.0
27826,-1.0
27918,-2.0
27979,-1.0
28008,-2.0
28153,-2.0
28334,-2.0
28447,-6.0
28465,-3.0
28475,-1.0
28553,-1.0
28563,-1.0
28567,-1.0
28569,-3.0
28637,-1.0
28639,-2.0
28641,-1.0
28749,-6.0
28875,-2.0
28881,-2.0
28913,-3.0
28921,-5.0
29029,-7.0
29041,-2.0
29075,-6.0
29193,-6.0
29219,-1.0
29220,-1.0
29236,-1.0
29283,-1.0
29285,-1.0
29368,-3.0
29458,-2.0
29513,-2.0
29517,-2.0
29539,-1.0
29555,-4.0
29684,-2.0
29775,-3.0
29803,-1.0
29809,-3.0
29851,-1.0
29855,-1.0
30154,-1.0
30316,-1.0
30503,-1.0
30518,-1.0
30733,-1.0
30851,-1.0
30974,-3.0
30986,-1.0
31015,-1.0
31038,-1.0
31088,-4.0
31105,-2.0
31107,-1.0
31114,-1.0
31116,-6.0
31151,-1.0
31167,-2.0
31190,-5.0
31238,-2.0
31308,-6.0
31310,-1.0
31318,-1.0
31333,-1.0
31520,-1.0
31521,-1.0
31693,-2.0
31719,-6.0
31731,-1.0
31760,-1.0
31814,-4.0
31816,-1.0
31863,-2.0
31878,-2.0
31882,-2.0
31948,-14.0
31958,-1.0
31988,-7.0
32088,-6.0
32166,-2.0
32208,-1.0
32288,-1.0
32417,-6.0
32487,-3.0
32528,-1.0
32763,-4.0
32897,-6.0
32912,-1.0
33044,-1.0
33250,-1.0
33259,-4.0
33280,-2.0
33325,-3.0
33328,-2.0
33341,-1.0
33374,-1.0
33405,-1.0
33546,-6.0
33571,-1.0
33760,-1.0
33769,-2.0
34208,-6.0
34210,-3.0
34282,-2.0
34301,-4.0
34476,-1.0
34637,-2.0
34707,-1.0
34737,-1.0
34754,-1.0
35025,-2.0
35047,-2.0
35058,-4.0
35075,-3.0
35095,-3.0
35096,-3.0
35099,-1.0
35185,-2.0
35197,-2.0
35294,-2.0
35534,-3.0
35725,-6.0
35886,-4.0
36039,-1.0
36286,-4.0
36473,-3.0
36686,-6.0
36734,-1.0
36927,-4.0
36938,-1.0
37116,-1.0
37149,-2.0
37218,-3.0
37262,-1.0
37290,-2.0
37291,-1.0
37309,-2.0
37356,-1.0
37358,-1.0
37389,-2.0
37401,-2.0
37405,-3.0
37410,-1.0
37413,-1.0
37414,-2.0
37423,-2.0
37427,-2.0
37428,-3.0
37435,-2.0
37440,-1.0
37450,-1.0
37461,-7.0
37466,-2.0
37467,-7.0
37471,-4.0
37474,-5.0
37476,-2.0
37498,-2.0
37515,-4.0
37536,-1.0
37538,-1.0
37542,-5.0
37585,-1.0
37613,-2.0
37623,-2.0
37659,-4.0
37673,-1.0
37687,-1.0
37702,-1.0
37738,-2.0
37757,-4.0
37818,-1.0
37865,-4.0
37880,-2.0
37883,-2.0
37942,-3.0
38006,-1.0
38147,-1.0
38311,-1.0
38325,-1.0
38329,-1.0
38491,-1.0
38503,-2.0
38512,-3.0
38548,-1.0
38586,-6.0
38591,-3.0
38593,-2.0
38604,-1.0
38618,-1.0
38674,-2.0
38684,-2.0
38688,-1.0
38797,-2.0
38864,-2.0
38895,-3.0
38898,-3.0
38968,-1.0
38979,-2.0
38987,-1.0
39026,-1.0
39034,-1.0
39208,-2.0
39261,-2.0
39314,-6.0
39395,-1.0
39489,-4.0
39508,-1.0
39597,-2.0
39689,-1.0
39818,-4.0
39871,-4.0
39879,-3.0
39956,-1.0
39976,-3.0
39996,-5.0
40053,-1.0
40069,-5.0
40121,-1.0
40242,-1.0
40259,-1.0
40293,-2.0
40331,-3.0
40342,-2.0
40469,-2.0
40580,-1.0
40589,-1.0
40590,-2.0
40628,-4.0
40664,-2.0
40717,-1.0
40912,-1.0
40950,-3.0
41098,-2.0
41111,-1.0
41312,-1.0
41371,-1.0
41377,-2.0
41404,-2.0
41437,-4.0
41536,-4.0
41578,-2.0
41660,-4.0
41690,-6.0
41698,-2.0
41811,-1.0
42179,-2.0
42265,-6.0
42279,-1.0
42350,-4.0
42553,-2.0
42571,-1.0
42577,-1.0
42644,-2.0
42764,-3.0
42793,-1.0
42866,-2.0
42892,-2.0
43038,-2.0
43416,-2.0
43477,-2.0
43541,-1.0
43616,-6.0
43727,-7.0
43779,-6.0
43816,-1.0
44143,-1.0
44576,-1.0
44594,-1.0
44643,-1.0
44646,-1.0
44658,-1.0
44774,-8.0
44899,-1.0
44924,-6.0
44932,-1.0
44935,-1.0
44988,-5.0
45051,-1.0
45127,-2.0
45162,-3.0
45307,-3.0
45313,-1.0
45443,-6.0
45452,-3.0
45460,-2.0
45465,-1.0
45482,-4.0
45622,-2.0
45654,-2.0
45791,-6.0
45800,-1.0
45874,-3.0
45934,-1.0
46327,-1.0
46356,-1.0
46371,-6.0
46386,-1.0
46623,-2.0
46685,-1.0
46744,-1.0
46823,-5.0
46841,-6.0
46903,-1.0
47080,-1.0
47473,-2.0
47744,-1.0
47818,-1.0
47869,-2.0
48019,-2.0
48473,-6.0
48501,-1.0
48766,-4.0
48768,-2.0
48913,-5.0
48970,-2.0
49326,-1.0
49652,-6.0
49696,-2.0
49837,-6.0
49846,-1.0
49929,-3.0
50111,-1.0
50113,-1.0
50258,-4.0
50284,-1.0
50922,-1.0
51106,-1.0
51268,-2.0
51523,-5.0
51768,-2.0
52079,-1.0
52093,-3.0
52447,-2.0
52659,-6.0
52838,-2.0
52866,-2.0
54484,-2.0
55124,-2.0
56513,-2.0
56569,-1.0
56571,-1.0
56572,-1.0
56573,-1.0
56574,-1.0
56672,-1.0
56673,-1.0
56674,-1.0
56675,-1.0
56676,-1.0
56686,-2.0
56823,-1.0
57116,-6.0
57222,-1.0
58504,-7.0
58517,-1.0
58637,-2.0
59412,-1.0
59593,-2.0
59876,-1.0
60083,-1.0
60086,-1.0
60106,-3.0
60813,-6.0
60918,-1.0
61156,-2.0
61220,-2.0
61274,-2.0
61941,-5.0
62068,-2.0
62098,-3.0
62363,-2.0
62383,-6.0
