,score
25708,2.0
25831,2.0
25892,1.0
25952,6.0
26057,2.0
26060,2.0
26062,1.0
26065,2.0
26090,1.0
26097,1.0
26108,3.0
26275,1.0
26340,4.0
26403,3.0
26405,3.0
26407,1.0
26435,1.0
26442,1.0
26479,2.0
26509,4.0
26521,2.0
26541,4.0
26557,1.0
26603,3.0
26618,1.0
26672,1.0
26858,4.0
26930,1.0
26948,2.0
26962,1.0
27002,2.0
27004,2.0
27005,2.0
27006,2.0
27178,3.0
27219,2.0
27254,2.0
27276,3.0
27290,1.0
27314,1.0
27336,3.0
27339,2.0
27393,2.0
27626,1.0
27788,3.0
27836,1.0
27855,3.0
27858,1.0
27868,2.0
28058,2.0
28061,4.0
28150,1.0
28424,3.0
28457,2.0
28491,3.0
28550,2.0
28592,3.0
28633,1.0
28682,6.0
28683,1.0
28744,3.0
28818,4.0
28864,2.0
28933,2.0
28997,3.0
29036,2.0
29147,3.0
29192,4.0
29282,9.0
29355,4.0
29370,1.0
29476,2.0
29503,2.0
29504,6.0
29594,2.0
29804,2.0
29929,4.0
30088,2.0
30163,3.0
30424,2.0
30495,3.0
30643,2.0
30694,1.0
30742,1.0
30748,2.0
30848,2.0
30900,2.0
30943,9.0
31003,2.0
31013,2.0
31109,2.0
31189,4.0
31236,1.0
31263,1.0
31267,3.0
31322,2.0
31430,4.0
31453,2.0
31464,1.0
31509,2.0
31580,4.0
31599,2.0
31613,3.0
31660,1.0
31661,1.0
31668,3.0
31669,3.0
31670,3.0
31671,3.0
31672,3.0
31673,3.0
31774,2.0
32010,2.0
32016,2.0
32057,3.0
32071,1.0
32091,1.0
32152,2.0
32160,3.0
32163,2.0
32186,2.0
32199,2.0
32212,2.0
32235,2.0
32532,1.0
32550,2.0
32552,1.0
32575,3.0
32582,3.0
32698,6.0
32703,3.0
32711,2.0
32793,2.0
32824,2.0
32827,2.0
32967,1.0
33054,3.0
33102,2.0
33112,1.0
33121,1.0
33129,2.0
33133,1.0
33147,3.0
33167,3.0
33222,2.0
33224,1.0
33260,4.0
33524,4.0
33580,3.0
33581,3.0
33587,2.0
33590,2.0
33676,4.0
33677,2.0
33681,2.0
33706,3.0
33728,5.0
33784,2.0
33791,2.0
33863,2.0
33887,3.0
33985,2.0
34112,2.0
34142,2.0
34152,2.0
34173,1.0
34213,3.0
34478,9.0
34567,4.0
34676,4.0
34772,4.0
34782,2.0
34943,1.0
34948,1.0
34978,2.0
34992,2.0
35023,1.0
35052,3.0
35170,3.0
35295,3.0
35348,2.0
35854,2.0
35866,3.0
35925,2.0
35955,3.0
36151,1.0
36163,1.0
36221,2.0
36288,6.0
36332,1.0
36347,6.0
36348,4.0
36357,3.0
36373,1.0
36378,1.0
36391,1.0
36410,6.0
36457,3.0
36503,2.0
36752,2.0
36756,9.0
36757,4.0
36807,2.0
36831,1.0
36885,1.0
37075,3.0
37109,2.0
37124,1.0
37399,2.0
37493,2.0
37640,4.0
37648,1.0
37658,1.0
37703,1.0
37708,2.0
37711,1.0
37713,2.0
37724,2.0
37754,2.0
37780,3.0
37795,1.0
37798,4.0
37806,2.0
37816,4.0
37817,2.0
37832,2.0
37834,2.0
37836,2.0
37838,1.0
37845,6.0
37859,1.0
37871,1.0
37875,5.0
37877,2.0
37897,2.0
37898,1.0
37913,1.0
37921,1.0
37934,2.0
37945,3.0
37947,1.0
37954,1.0
37957,1.0
37969,1.0
37973,1.0
37977,7.0
37981,1.0
38000,1.0
38015,2.0
38019,2.0
38043,1.0
38044,3.0
38052,2.0
38063,2.0
38065,3.0
38073,3.0
38076,3.0
38103,3.0
38107,4.0
38132,1.0
38142,1.0
38146,4.0
38171,2.0
38176,4.0
38196,8.0
38238,1.0
38270,1.0
38280,3.0
38291,6.0
38332,3.0
38356,2.0
38362,4.0
38411,1.0
38466,2.0
38494,6.0
38504,12.0
38505,3.0
38560,2.0
38572,4.0
38581,1.0
38607,7.0
38626,1.0
38643,2.0
38666,2.0
38677,2.0
38686,4.0
38687,4.0
38690,3.0
38693,2.0
38733,1.0
38735,4.0
38748,4.0
38751,2.0
38780,1.0
38781,1.0
38783,4.0
38794,1.0
38802,1.0
38803,1.0
38804,1.0
38805,1.0
38807,4.0
38808,1.0
38809,1.0
38822,1.0
38823,1.0
38826,2.0
38827,1.0
38831,1.0
38834,2.0
38840,8.0
38846,2.0
38881,2.0
38888,1.0
38928,4.0
38932,2.0
38942,8.0
38957,2.0
38983,8.0
39006,2.0
39007,2.0
39015,2.0
39031,2.0
39041,3.0
39059,1.0
39061,2.0
39072,2.0
39104,2.0
39105,1.0
39114,2.0
39130,1.0
39131,2.0
39132,2.0
39151,3.0
39157,4.0
39163,2.0
39169,2.0
39174,2.0
39177,1.0
39197,1.0
39198,6.0
39200,3.0
39201,1.0
39218,2.0
39221,5.0
39238,2.0
39245,3.0
39272,7.0
39281,7.0
39325,2.0
39451,9.0
39463,3.0
39486,3.0
39543,2.0
39577,7.0
39589,2.0
39590,2.0
39635,1.0
39640,1.0
39701,2.0
39713,4.0
39715,2.0
39757,3.0
39895,1.0
39953,2.0
40012,1.0
40090,1.0
40112,1.0
40119,2.0
40159,2.0
40200,1.0
40255,2.0
40273,3.0
40280,1.0
40281,2.0
40343,4.0
40352,2.0
40390,1.0
40398,2.0
40421,2.0
40454,6.0
40485,1.0
40487,2.0
40572,2.0
40718,2.0
40736,2.0
40740,5.0
40752,2.0
40896,6.0
40940,1.0
40953,1.0
40954,2.0
40997,1.0
41028,1.0
41067,4.0
41077,3.0
41184,1.0
41294,1.0
41329,1.0
41385,4.0
41636,4.0
41658,6.0
41704,2.0
41707,2.0
41717,2.0
41812,2.0
