,score
6129,-2.0
6131,-4.0
6135,-2.0
6141,-1.0
6150,-1.0
6154,-1.0
6168,-1.0
6182,-1.0
6189,-5.0
6201,-1.0
6212,-1.0
6221,-3.0
6228,-1.0
6229,-3.0
6232,-2.0
6243,-2.0
6248,-1.0
6269,-5.0
6270,-4.0
6273,-2.0
6285,-1.0
6302,-2.0
6306,-5.0
6327,-1.0
6333,-2.0
6335,-5.0
6340,-8.0
6373,-2.0
6376,-2.0
6379,-1.0
6385,-6.0
6412,-1.0
6430,-8.0
6432,-3.0
6434,-5.0
6436,-1.0
6569,-2.0
6580,-3.0
6590,-5.0
6632,-2.0
6706,-1.0
6723,-3.0
6724,-3.0
6732,-4.0
6825,-1.0
6966,-1.0
7033,-1.0
7060,-2.0
7061,-3.0
7095,-3.0
7136,-2.0
7155,-2.0
7179,-4.0
7201,-1.0
7219,-3.0
7220,-6.0
7241,-6.0
7246,-1.0
7256,-3.0
7257,-1.0
7311,-4.0
7314,-2.0
7370,-3.0
7372,-2.0
7373,-3.0
7391,-4.0
7393,-6.0
7398,-1.0
7401,-3.0
7402,-2.0
7403,-3.0
7421,-5.0
7431,-1.0
7434,-1.0
7441,-1.0
7456,-3.0
7465,-1.0
7482,-2.0
7502,-1.0
7505,-3.0
7507,-2.0
7540,-1.0
7542,-1.0
7563,-1.0
7588,-5.0
7634,-1.0
7659,-1.0
7661,-2.0
7662,-1.0
7663,-3.0
7665,-4.0
7666,-1.0
7671,-10.0
7687,-2.0
7706,-4.0
7726,-2.0
7765,-4.0
7775,-1.0
7787,-3.0
7799,-2.0
7820,-3.0
7821,-1.0
7823,-2.0
7830,-3.0
7841,-6.0
7843,-3.0
7848,-2.0
7849,-2.0
7852,-2.0
7853,-3.0
7866,-4.0
7867,-3.0
7869,-2.0
7870,-1.0
7885,-3.0
7897,-2.0
7898,-2.0
7899,-1.0
7905,-2.0
7906,-3.0
7925,-3.0
7943,-2.0
7954,-2.0
7955,-2.0
7999,-1.0
8001,-6.0
8004,-6.0
8012,-1.0
8047,-1.0
8058,-2.0
8061,-1.0
8062,-1.0
8066,-2.0
8069,-1.0
8100,-3.0
8105,-3.0
8110,-1.0
8119,-2.0
8214,-1.0
8216,-4.0
8220,-6.0
8298,-3.0
8306,-3.0
8315,-2.0
8317,-1.0
8340,-1.0
8345,-2.0
8360,-2.0
8375,-1.0
8381,-4.0
8389,-1.0
8399,-4.0
8411,-1.0
8412,-1.0
8414,-1.0
8479,-2.0
8490,-1.0
8517,-2.0
8540,-1.0
8564,-2.0
8576,-1.0
8577,-1.0
8584,-2.0
8605,-3.0
8607,-2.0
8650,-1.0
8658,-6.0
8659,-1.0
8677,-3.0
8678,-1.0
8708,-1.0
8716,-1.0
8742,-4.0
8753,-2.0
8763,-1.0
8765,-3.0
8810,-4.0
8822,-3.0
8843,-2.0
8847,-3.0
8884,-3.0
8905,-1.0
8911,-2.0
8932,-3.0
8947,-12.0
8970,-6.0
8971,-6.0
8972,-6.0
8973,-6.0
8974,-6.0
8976,-6.0
8977,-6.0
8978,-6.0
8979,-6.0
8980,-6.0
9000,-2.0
9020,-5.0
9021,-5.0
9039,-2.0
9040,-2.0
9041,-2.0
9042,-2.0
9043,-2.0
9044,-2.0
9045,-2.0
9068,-2.0
9091,-4.0
9092,-2.0
9093,-2.0
9094,-2.0
9106,-2.0
9109,-3.0
9116,-2.0
9145,-2.0
9146,-1.0
9168,-2.0
9169,-2.0
9171,-3.0
9172,-2.0
9204,-2.0
9238,-2.0
9245,-2.0
9246,-2.0
9322,-1.0
9323,-1.0
9327,-1.0
9334,-4.0
9335,-4.0
9458,-2.0
9483,-1.0
9493,-1.0
9545,-2.0
9572,-6.0
9575,-2.0
9594,-2.0
9609,-1.0
9636,-1.0
9665,-3.0
9666,-1.0
9713,-2.0
9737,-1.0
9749,-2.0
9750,-2.0
9752,-6.0
9766,-2.0
9773,-1.0
9781,-2.0
9782,-2.0
9815,-2.0
9981,-1.0
9983,-4.0
9989,-2.0
10057,-2.0
10058,-1.0
10071,-4.0
10097,-1.0
10125,-1.0
10160,-2.0
10164,-2.0
10168,-2.0
